,accuracy,loss,val_accuracy,val_loss
0,0.8286563158035278,0.4353295564651489,0.7250000238418579,0.6536034941673279
1,0.922809362411499,0.1849890649318695,0.7400000095367432,0.9287514686584473
2,0.9420776963233948,0.14230364561080933,0.7950000166893005,0.7405205368995667
3,0.9624403715133667,0.09935815632343292,0.7599999904632568,0.7980314493179321
4,0.9698272347450256,0.07826915383338928,0.7649999856948853,0.838594377040863
5,0.9771749973297119,0.06134971231222153,0.7649999856948853,0.9320361614227295
6,0.9821386933326721,0.049912817776203156,0.7950000166893005,0.9852519035339355
7,0.9854608178138733,0.04096924513578415,0.7900000214576721,1.0021779537200928
8,0.9896036982536316,0.029504144564270973,0.7749999761581421,1.2728080749511719
9,0.9881966710090637,0.03420276939868927,0.7950000166893005,1.2233949899673462
10,0.9933557510375977,0.018367381766438484,0.7850000262260437,1.4624007940292358
11,0.986906886100769,0.0394294448196888,0.7900000214576721,1.1987464427947998
12,0.9949972629547119,0.014617139473557472,0.7599999904632568,1.4237091541290283
13,0.9868678450584412,0.035718660801649094,0.7900000214576721,1.2662875652313232
14,0.9964433908462524,0.010348952375352383,0.8050000071525574,1.3162821531295776
15,0.9933557510375977,0.021999560296535492,0.8100000023841858,1.2895811796188354
16,0.9876886010169983,0.03641381114721298,0.7799999713897705,1.2933372259140015
17,0.9989056587219238,0.004233956336975098,0.7950000166893005,1.5671250820159912
18,0.9999608993530273,0.000873978016898036,0.7749999761581421,1.5305155515670776
19,1.0,0.00021137762814760208,0.7900000214576721,1.5949305295944214
20,1.0,0.00012081993918400258,0.7900000214576721,1.6274245977401733
21,1.0,7.589715823996812e-05,0.7950000166893005,1.686946153640747
22,1.0,5.2952291298424825e-05,0.7900000214576721,1.7251564264297485
23,1.0,3.6811979953199625e-05,0.800000011920929,1.804283857345581
24,1.0,2.633871918078512e-05,0.800000011920929,1.8218410015106201
25,1.0,1.8003929653787054e-05,0.800000011920929,1.8706284761428833
26,1.0,1.2366404007480014e-05,0.800000011920929,1.9407504796981812
27,1.0,8.854298357618973e-06,0.800000011920929,1.9986003637313843
28,1.0,5.515523753274465e-06,0.800000011920929,2.0561466217041016
29,1.0,3.8081882394180866e-06,0.800000011920929,2.1022276878356934
30,1.0,2.467723106747144e-06,0.800000011920929,2.1490638256073
31,1.0,1.7494194253231399e-06,0.7900000214576721,2.2191321849823
32,1.0,1.0626238236000063e-06,0.800000011920929,2.256772994995117
33,1.0,7.459268545062514e-07,0.800000011920929,2.34822940826416
34,1.0,4.934128128297743e-07,0.800000011920929,2.4045536518096924
35,1.0,3.1355637020169524e-07,0.7950000166893005,2.439403772354126
36,1.0,2.1203351252552238e-07,0.7950000166893005,2.51397967338562
37,1.0,1.3939738607859908e-07,0.800000011920929,2.5581064224243164
38,1.0,9.355593988402688e-08,0.800000011920929,2.6268093585968018
39,1.0,6.462254731331996e-08,0.800000011920929,2.700305461883545
40,1.0,4.268256859063513e-08,0.7950000166893005,2.715529680252075
41,1.0,2.8481448310913038e-08,0.800000011920929,2.787306547164917
42,1.0,1.8371069998579515e-08,0.800000011920929,2.8628015518188477
43,1.0,1.2724167497424332e-08,0.800000011920929,2.8842194080352783
44,1.0,8.316601629587694e-09,0.800000011920929,2.9526946544647217
45,1.0,5.6189475294843305e-09,0.800000011920929,3.001352548599243
46,1.0,3.38720962389516e-09,0.800000011920929,3.062274694442749
47,1.0,2.0966222091800546e-09,0.7950000166893005,3.1002187728881836
48,1.0,1.2206999855379763e-09,0.800000011920929,3.173640727996826
49,1.0,1.0156969709740338e-09,0.800000011920929,3.2240521907806396
50,1.0,7.081923936169687e-10,0.800000011920929,3.2982633113861084
51,1.0,4.519385699008893e-10,0.800000011920929,3.3810389041900635
52,1.0,4.2864276017517966e-10,0.7950000166893005,3.4510321617126465
53,1.0,3.587553587536263e-10,0.800000011920929,3.4805994033813477
54,1.0,3.447778729182005e-10,0.800000011920929,3.5559465885162354
55,1.0,1.7704809840424218e-10,0.800000011920929,3.6646759510040283
56,1.0,4.333019221203216e-10,0.8050000071525574,3.7632362842559814
57,1.0,4.2398359823003773e-10,0.7950000166893005,3.771188974380493
58,0.9881966710090637,0.0639369934797287,0.7900000214576721,2.567065477371216
59,0.9926522374153137,0.024076730012893677,0.7799999713897705,3.0138251781463623
60,0.9917923808097839,0.03373413160443306,0.7950000166893005,2.8639678955078125
61,0.9909325242042542,0.03200351074337959,0.7900000214576721,2.6771883964538574
62,0.9962479472160339,0.015084967948496342,0.7900000214576721,3.3929526805877686
63,0.9943719506263733,0.02183501608669758,0.7850000262260437,2.8760037422180176
64,0.9924177527427673,0.02874099463224411,0.7649999856948853,3.0157604217529297
65,0.9932775497436523,0.028906989842653275,0.824999988079071,2.435518741607666
66,0.9949972629547119,0.01610395684838295,0.7400000095367432,2.9430978298187256
67,0.9953880906105042,0.01771627552807331,0.7900000214576721,2.289076089859009
68,0.9974595308303833,0.0075150467455387115,0.7850000262260437,2.8968007564544678
69,0.9950363636016846,0.017473215237259865,0.7549999952316284,2.635723829269409
70,0.9910107254981995,0.034483108669519424,0.7850000262260437,2.1233582496643066
71,0.9991401433944702,0.0022846043575555086,0.7749999761581421,2.374940872192383
72,0.9965606331825256,0.012312089093029499,0.7599999904632568,2.42500376701355
73,0.9907371401786804,0.03463881462812424,0.7900000214576721,2.2479021549224854
74,0.9985929727554321,0.004409910179674625,0.8100000023841858,2.1532740592956543
75,1.0,0.0001578225492266938,0.7950000166893005,2.170224189758301
76,1.0,4.3372390791773796e-05,0.7950000166893005,2.1833553314208984
77,1.0,3.078629379160702e-05,0.7950000166893005,2.218111038208008
78,1.0,2.3378213882097043e-05,0.7950000166893005,2.2348997592926025
79,1.0,1.7561069398652762e-05,0.7900000214576721,2.2737245559692383
80,1.0,1.3310338545124978e-05,0.7900000214576721,2.2948248386383057
81,1.0,1.0031169949797913e-05,0.7950000166893005,2.3197126388549805
82,1.0,7.559164714621147e-06,0.7900000214576721,2.361354112625122
83,1.0,5.5760142458893824e-06,0.7900000214576721,2.394890069961548
84,1.0,4.063574124302249e-06,0.7900000214576721,2.4451122283935547
85,1.0,2.92537242785329e-06,0.7950000166893005,2.4671285152435303
86,1.0,2.0414665868884185e-06,0.7950000166893005,2.4976205825805664
87,1.0,1.4537870356434723e-06,0.7950000166893005,2.5474326610565186
88,1.0,9.844225132837892e-07,0.7950000166893005,2.59486722946167
89,1.0,7.182468380051432e-07,0.7850000262260437,2.646240234375
90,1.0,4.823594963454525e-07,0.7900000214576721,2.701169729232788
91,1.0,3.446642722337856e-07,0.7950000166893005,2.7239623069763184
92,1.0,2.3196967902094912e-07,0.7950000166893005,2.7964982986450195
93,1.0,1.64593842555405e-07,0.7900000214576721,2.86586332321167
94,1.0,1.099374671298392e-07,0.7950000166893005,2.9023351669311523
95,1.0,7.487732744948516e-08,0.7950000166893005,2.9298956394195557
96,1.0,5.041211181833205e-08,0.7900000214576721,3.0337913036346436
97,1.0,3.37509575842887e-08,0.800000011920929,3.08740234375
98,1.0,2.431615797604536e-08,0.7950000166893005,3.1451194286346436
99,1.0,1.723889475613305e-08,0.800000011920929,3.1814632415771484
