fold,accuracy,precision_autistic,recall_autistic,f1_autistic
1,0.9565217391304348,0.9832993890020366,0.9288187764524817,0.9552829442026118
2,0.94766211275736,0.9907172995780591,0.9037721324095458,0.9452495974235104
3,0.9649797960361747,0.9767166535122336,0.9526558891454965,0.9645362431800467
4,0.9642101212237829,0.9578747628083492,0.9711427472104656,0.9644631257164692
5,0.5828362516836636,0.8868940754039497,0.19007310504040015,0.31305449936628643
Mean ± Std,0.8832 ± 0.1681,0.9591 ± 0.0422,0.7893 ± 0.3359,0.8285 ± 0.2883
