fold,accuracy,precision_autistic,recall_autistic,f1_autistic
1,0.9659484417083494,0.960806697108067,0.9715275105809927,0.9661373636885403
2,0.9690205888012314,0.9710088906068806,0.9668976135488837,0.9689488910318226
3,0.9611314219742159,0.9621913580246914,0.9599692070823711,0.9610789980732177
4,0.9686357513950355,0.9663093415007658,0.9711427472104656,0.9687200153521397
5,0.9709447758322108,0.9744186046511628,0.9672951135051943,0.9708437922378838
Mean ± Std,0.9671 ± 0.0038,0.9669 ± 0.0058,0.9674 ± 0.0047,0.9671 ± 0.0038
