fold,accuracy,precision_autistic,recall_autistic,f1_autistic
1,0.9867256637168141,0.9918351477449455,0.981531358214698,0.9866563527364146
2,0.9822974793149895,0.9886895475819033,0.9757505773672055,0.9821774506005424
3,0.9886472965172215,0.988081507112649,0.9892224788298691,0.9886516637814965
4,0.9826823167211853,0.9753694581280788,0.9903809157368219,0.9828178694158075
5,0.9834519915335771,0.9910121141070731,0.9757599076567911,0.9833268708801861
Mean ± Std,0.9848 ± 0.0028,0.9870 ± 0.0067,0.9825 ± 0.0071,0.9847 ± 0.0028
