fold,accuracy,precision_autistic,recall_autistic,f1_autistic
1,0.984609465178915,0.994503337259521,0.9746056175452097,0.9844539448115041
2,0.9807581296902059,0.996422893481717,0.9649730561970746,0.9804458349628471
3,0.9851837598614586,0.975480950584685,0.9953810623556582,0.9853305391503143
4,0.9853761785645565,0.9925810230378759,0.9780684878799538,0.9852713178294573
5,0.9480469501635559,0.9974369927381461,0.8984224701808388,0.9453441295546559
Mean ± Std,0.9768 ± 0.0162,0.9913 ± 0.0090,0.9623 ± 0.0374,0.9762 ± 0.0173
