fold,accuracy,precision_autistic,recall_autistic,f1_autistic
1,0.9730665640631012,0.9712533537753929,0.9749903809157369,0.9731182795698925
2,0.970559938426015,0.9682114132516277,0.9730561970746728,0.9706277596467652
3,0.9728689628631904,0.9789473684210527,0.9665127020785219,0.9726902963393376
4,0.970559938426015,0.9773614363778298,0.9634474797999231,0.9703545824452625
5,0.9655570521454685,0.9748822605965463,0.9557522123893806,0.9652224596852536
Mean ± Std,0.9705 ± 0.0030,0.9741 ± 0.0044,0.9668 ± 0.0077,0.9704 ± 0.0031
