fold,accuracy,precision_autistic,recall_autistic,f1_autistic
1,0.943632166217776,0.942101226993865,0.9453636013851482,0.9437295947762627
2,0.9386184337117568,0.9250279746363297,0.9545804464973057,0.9395718886152681
3,0.9461227631325765,0.9406844106463879,0.9522709776751347,0.946442234123948
4,0.9409274581489321,0.9337623012869039,0.9492112350904194,0.9414233924823507
5,0.937848758899365,0.953386454183267,0.9207387456714121,0.9367782344881581
Mean ± Std,0.9414 ± 0.0035,0.9390 ± 0.0105,0.9444 ± 0.0137,0.9416 ± 0.0037
