fold,accuracy,precision_autistic,recall_autistic,f1_autistic
1,0.9565217391304348,0.9415705247487904,0.9734513274336283,0.9572455542943624
2,0.9609390032711179,0.9697920753236563,0.9515011547344111,0.9605595492519915
3,0.9580527227246488,0.9446935724962631,0.9730561970746728,0.9586651497914297
4,0.9532422551472003,0.9337260677466863,0.9757599076567911,0.9542803386641581
5,0.9420819703675197,0.9720624486442071,0.9103501346671797,0.9401947148817803
Mean ± Std,0.9542 ± 0.0073,0.9524 ± 0.0174,0.9568 ± 0.0278,0.9542 ± 0.0082
